author,Hauptgenre_Avg,GenreWechsel_Avg,Differenz,Wechsel_besser,total_books,switch_books,main_genre_books,main_genre
A. Lee Martinez,3.885,3.965,0.08000000000000007,True,4,2,2,Science Fiction
A.C. Arthur,4.4,4.244999999999999,-0.15500000000000114,False,9,2,7,Romance
A.C. Bhaktivedanta Swami PrabhupäDa,4.36,3.9325,-0.4275000000000002,False,10,4,6,Spirituality
A.N. Wilson,3.7866666666666666,4.13,0.34333333333333327,True,5,2,3,History
Abby Gaines,3.7133333333333334,3.55,-0.16333333333333355,False,4,1,3,Romance
Abby Green,3.668,3.65,-0.018000000000000238,False,6,1,5,Category Romance
Abraham Joshua Heschel,4.175,4.45,0.27500000000000036,True,5,1,4,Religion
Adam Hall,4.095,4.075,-0.019999999999999574,False,4,2,2,Thriller
Adam Mickiewicz,3.665,3.2649999999999997,-0.40000000000000036,False,4,2,2,Poetry
Adam Rex,3.74,3.84,0.09999999999999964,True,4,2,2,Fantasy
Adam Zamoyski,4.026,4.12,0.0940000000000003,True,6,1,5,History
Ahdaf Soueif,3.7,3.626666666666667,-0.07333333333333325,False,5,3,2,Fiction
Ahmad Tohari,3.855,3.956666666666667,0.10166666666666702,True,5,3,2,Asian Literature
Aimee Carter,3.9475,3.85,-0.0974999999999997,False,5,1,4,Fantasy
Alan Bennett,3.92,3.8249999999999997,-0.0950000000000002,False,6,4,2,Nonfiction
Alan Dean Foster,3.67,3.77875,0.10875000000000012,True,12,8,4,Science Fiction
Alan M. Dershowitz,3.745,3.723333333333333,-0.021666666666666945,False,5,3,2,Law
Alan Oken,4.01,4.445,0.4350000000000005,True,5,2,3,Esoterica
Alastair Reynolds,4.013333333333334,3.9,-0.11333333333333373,False,4,1,3,Science Fiction
Aleister Crowley,4.0375,3.758,-0.27949999999999964,False,9,5,4,Philosophy
Alex Flinn,3.6766666666666663,3.71,0.03333333333333366,True,4,1,3,Fantasy
Alex Scarrow,4.13,3.69,-0.43999999999999995,False,4,1,3,Science Fiction
Alexander Mccall Smith,3.7642857142857147,3.545,-0.21928571428571475,False,11,4,7,Fiction
Alfie Kohn,4.082857142857143,4.14,0.05714285714285694,True,8,1,7,Education
Alfonso Marã­A De Liguori,4.713333333333334,4.73,0.016666666666666607,True,4,1,3,Christianity
Alfred Price,3.9299999999999997,4.075,0.14500000000000046,True,4,2,2,War
Ali Smith,3.56,4.06,0.49999999999999956,True,5,1,4,Fiction
Alice A. Bailey,4.02,4.17,0.15000000000000036,True,7,3,4,Spirituality
Alice Hoffman,3.69,4.05,0.3599999999999999,True,6,1,5,Fiction
Alice Munro,4.082857142857143,3.98,-0.10285714285714276,False,8,1,7,Short Stories
Aline Hunter,3.716666666666667,3.71,-0.006666666666666821,False,4,1,3,Fantasy
Alison Hart,4.033333333333333,4.095,0.061666666666666536,True,5,2,3,Historical
Alison Weir,3.9127272727272726,3.9050000000000002,-0.007727272727272361,False,13,2,11,History
Alistair Maclean,3.751,3.7275,-0.023499999999999854,False,18,8,10,Thriller
Alistair Macleod,4.276666666666666,4.03,-0.24666666666666615,False,4,1,3,Short Stories
Allie Pleiter,4.06,4.025,-0.034999999999999254,False,6,2,4,Category Romance
Ally Condie,3.64,3.92,0.2799999999999998,True,4,1,3,Young Adult
Almudena Grandes,3.93,4.29,0.3599999999999999,True,5,1,4,Fiction
Alvin M. Josephy Jr.,4.336666666666667,3.84,-0.49666666666666703,False,4,1,3,History
Alyson Noel,3.856666666666667,3.895,0.03833333333333311,True,5,2,3,Fantasy
Alyxandra Harvey,3.73,4.1850000000000005,0.4550000000000005,True,4,2,2,Fantasy
Amanda Carpenter,3.44,3.54,0.10000000000000009,True,4,1,3,Category Romance
Amber Kell,3.758076923076923,3.6225,-0.13557692307692282,False,30,4,26,Romance
Amitav Ghosh,3.7466666666666666,3.835,0.08833333333333337,True,5,2,3,Fiction
Amos Tutuola,3.535,3.8449999999999998,0.3099999999999996,True,4,2,2,Fantasy
Amulya Malladi,3.78,3.78,0.0,False,4,1,3,Fiction
Amy Andrews,3.645,3.95,0.30500000000000016,True,4,2,2,Romance
Amy Clipston,4.238,4.39,0.15199999999999925,True,6,1,5,Amish
Amã©Lie Nothomb,3.5875,3.37,-0.2174999999999998,False,5,1,4,Fiction
Ana Marã­A Matute,3.6675,3.7175,0.04999999999999982,True,8,4,4,European Literature
Andre Norton,3.765,3.745,-0.020000000000000018,False,10,4,6,Science Fiction
Andrea Camilleri,3.7175000000000002,3.695,-0.02250000000000041,False,8,4,4,Fiction
Andrea Laurence,3.725,3.6100000000000003,-0.11499999999999977,False,4,2,2,Category Romance
Andrew F. Smith,3.555,3.3866666666666667,-0.16833333333333345,False,7,3,4,Food and Drink
Andy Stanley,4.255,4.28,0.025000000000000355,True,4,2,2,Leadership
Angela Elwell Hunt,3.99,4.1899999999999995,0.1999999999999993,True,4,2,2,Christian Fiction
Angus Konstam,3.71,3.7375,0.027499999999999858,True,6,4,2,History
Anita Ganeri,3.8425000000000002,3.66,-0.1825000000000001,False,6,2,4,Nonfiction
Anita Nair,3.623333333333333,3.54,-0.08333333333333304,False,5,2,3,Cultural
Anita Stansfield,3.745,3.8833333333333333,0.1383333333333332,True,5,3,2,Historical
Anitra Lynn Mcleod,3.5425,3.78,0.23749999999999982,True,5,1,4,Romance
Ann Aguirre,3.9899999999999998,3.8699999999999997,-0.1200000000000001,False,8,3,5,Science Fiction
Ann M. Martin,3.6480000000000006,3.74,0.09199999999999964,True,14,9,5,Fiction
Ann Major,3.4475,3.1399999999999997,-0.3075000000000001,False,6,2,4,Romance
Anna   Schmidt,4.18,3.8533333333333335,-0.3266666666666662,False,8,3,5,Amish
Anna Quindlen,3.9066666666666667,3.72,-0.18666666666666654,False,4,1,3,Nonfiction
